Country,"Density
(P/Km2)",Abbreviation,Agricultural Land( %),Land Area(Km2),Armed Forces size,Birth Rate,Calling Code,Capital/Major City,Co2-Emissions,CPI,CPI Change (%),Currency-Code,Fertility Rate,Forested Area (%),Gasoline Price,GDP,Gross primary education enrollment (%),Gross tertiary education enrollment (%),Infant mortality,Largest city,Life expectancy,Maternal mortality ratio,Minimum wage,Official language,Out of pocket health expenditure,Physicians per thousand,Population,Population: Labor force participation (%),Tax revenue (%),Total tax rate,Unemployment rate,Urban_population,Latitude,Longitude
United States,36.0,US,44.4,9833517.0,1359000.0,11.6,1.0,Washington D.C.,5006302,117.24,7.50%,USD,1.73,33.9,0.71,21427700000000.0,101.8,88,5.6,New York City,78.5,19.0,7.25,None,11,2.61,328239523.0,62.0,9.6,36.6,14.7,270663028,37.09024,-95.712891
China,153.0,CN,56.2,9596960.0,2695000.0,10.9,86.0,Beijing,9893038,125.08,2.90%,CNY,1.69,22.4,0.96,19910000000000.0,100.2,50,7.4,Shanghai,77.0,29.0,0.87,Standard Chinese,32,1.98,1397715000.0,68.0,9.4,59.2,4.32,842933962,35.86166,104.195397
Japan,347.0,JP,12.3,377944.0,261000.0,7.4,81.0,Tokyo,1135886,105.48,0.50%,,1.42,68.5,1.06,5081769542380.0,98.8,63,1.8,Tokyo,84.2,5.0,6.77,None,13,2.41,126226568.0,61.7,11.9,46.7,2.29,115782416,36.204824,138.252924
Germany,240.0,DE,47.7,357022.0,180000.0,9.5,49.0,Berlin,727973,112.85,1.40%,EUR,1.56,32.7,1.39,3845630030824.0,104.0,70,3.1,Berlin,80.9,7.0,9.99,German,12,4.25,83132799.0,60.8,11.5,48.8,3.04,64324835,51.165690999999995,10.451526
United Kingdom,281.0,GB,71.7,243610.0,148000.0,11.0,44.0,London,379025,119.62,1.70%,GBP,1.68,13.1,1.46,2827113184696.0,101.2,60,3.6,London,81.3,7.0,10.13,English,14,2.81,66834405.0,62.8,25.5,30.6,3.85,55908316,55.378051,-3.435973
France,119.0,FR,52.4,643801.0,307000.0,11.3,33.0,Paris,303276,110.05,1.10%,EUR,1.88,31.2,1.39,2715518274227.0,102.5,65,3.4,Paris,82.5,8.0,11.16,French,6,3.27,67059887.0,55.1,24.2,60.7,8.43,54123364,46.227638,2.213749
India,464.0,IN,60.4,3287263.0,3031000.0,17.86,91.0,New Delhi,2407672,180.44,7.70%,INR,2.22,23.8,0.97,2611000000000.0,113.0,28,29.9,Kurebhar,69.4,145.0,0.3,Hindi,65,0.86,1366417754.0,49.3,11.2,49.7,5.36,471031528,20.593684,78.96288
South Korea,527.0,KR,17.4,99720.0,634000.0,6.4,82.0,Seoul,620302,115.16,0.40%,KRW,0.98,63.4,1.22,2029000000000.0,98.1,94,2.7,Seoul,82.6,11.0,6.49,Korean,36,2.36,51709098.0,63.0,15.6,33.2,4.15,42106719,35.907757000000004,127.766922
Italy,206.0,IT,43.2,301340.0,347000.0,7.3,39.0,Rome,320411,110.62,0.60%,EUR,1.29,31.8,1.61,2001244392042.0,101.9,61,2.6,Rome,82.9,2.0,,Italian,22,3.98,60297396.0,49.6,24.3,59.1,9.89,42651966,41.87194,12.56738
Brazil,25.0,BR,33.9,8515770.0,730000.0,13.92,55.0,Bras���,462299,167.4,3.70%,BRL,1.73,58.9,1.02,1839758040766.0,115.4,51,12.8,S����,75.7,60.0,1.53,Portuguese,28,2.15,212559417.0,63.9,14.2,65.1,12.08,183241641,-14.235004,-51.92528
Canada,4.0,CA,6.9,9984670.0,72000.0,10.1,1.0,Ottawa,544894,116.76,1.90%,CAD,1.5,38.2,0.81,1736425629520.0,100.9,68,4.3,Toronto,81.9,10.0,9.51,French,14,2.61,36991981.0,65.1,12.8,24.5,5.56,30628482,56.130366,-106.34677099999999
Russia,9.0,RU,13.3,17098240.0,1454000.0,11.5,7.0,Moscow,1732027,180.75,4.50%,RUB,1.57,49.8,0.59,1699876578871.0,102.6,81,6.1,Moscow,72.7,17.0,0.53,Russian,36,4.01,144373535.0,61.8,11.4,46.2,4.59,107683889,61.52401,105.31875600000001
Spain,94.0,ES,52.6,505370.0,196000.0,7.9,34.0,Madrid,244002,110.96,0.70%,EUR,1.26,36.9,1.26,1394116310769.0,102.7,88,2.5,Madrid,83.3,4.0,5.6,Spanish,24,3.87,47076781.0,57.5,14.2,47.0,13.96,37927409,40.463667,-3.7492199999999998
Australia,3.0,AU,48.2,7741220.0,58000.0,12.6,61.0,Canberra,375908,119.8,1.60%,AUD,1.74,16.3,0.93,1392680589329.0,100.3,113,3.1,Sydney,82.7,6.0,13.59,None,19,3.68,25766605.0,65.5,23.0,47.4,5.27,21844756,-25.274398,133.775136
Mexico,66.0,MX,54.6,1964375.0,336000.0,17.6,52.0,Mexico City,486406,141.54,3.60%,MXN,2.13,33.9,0.73,1258286717125.0,105.8,40,11.0,Mexico City,75.0,33.0,0.49,None,41,2.38,126014024.0,60.7,13.1,55.1,3.42,102626859,23.634501,-102.552784
Indonesia,151.0,ID,31.5,1904569.0,676000.0,18.07,62.0,Jakarta,563325,151.18,3.00%,IDR,2.31,49.9,0.63,1119190780753.0,106.4,36,21.1,Kalimantan,71.5,177.0,0.48,Indonesian,48,0.43,270203917.0,67.5,10.2,30.1,4.69,151509724,-0.789275,113.921327
Netherlands,508.0,NL,53.3,41543.0,41000.0,9.7,31.0,Amsterdam,170780,115.91,2.60%,,1.59,11.2,1.68,909070395161.0,104.2,85,3.3,Amsterdam,81.8,5.0,10.29,Dutch,12,3.61,17332850.0,63.6,23.0,41.2,3.2,15924729,52.132633,5.291266
